number_complaints,officer,salary,year
2,8,60600,2003
2,8,71682,2006
2,8,73116,2008
2,35,58572,2003
2,35,70656,2008
2,35,78360,2010
2,50,49548,2002
2,50,86520,2015
2,50,89130,2016
2,171,74628,2011
2,171,75372,2012
2,171,78012,2013
2,171,82788,2014
2,184,70260,2004
2,205,73116,2007
2,205,96060,2017
2,273,80016,2017
2,327,61932,2009
2,327,80778,2015
2,431,50538,2003
2,431,66924,2006
2,431,73164,2010
2,460,69270,2005
2,460,75816,2009
2,460,81252,2010
2,460,83706,2012
2,460,92316,2015
2,472,58572,2004
2,472,66924,2006
2,472,70656,2008
2,472,80724,2013
2,485,61932,2009
2,485,69648,2010
2,485,74628,2011
2,485,79980,2014
2,485,83220,2016
2,485,91338,2017
2,495,43104,2012
2,500,75102,2005
2,500,101958,2011
2,500,102978,2013
2,500,111474,2017
2,525,58896,2007
2,536,58572,2004
2,536,70656,2009
2,536,86520,2015
2,539,82422,2003
2,539,94188,2006
2,568,75102,2005
2,568,88578,2006
2,568,90348,2008
2,568,90348,2009
2,686,61530,2013
2,686,68994,2014
2,686,73296,2015
2,687,43104,2010
2,687,65016,2012
2,687,80778,2015
2,743,60918,2011
2,743,65016,2012
2,743,83220,2016
2,772,43104,2012
2,772,68994,2014
2,772,73296,2015
2,824,84054,2017
2,831,75816,2007
2,831,83604,2010
2,831,91404,2014
2,831,92316,2015
2,834,40830,2005
2,834,61932,2008
2,834,74628,2011
2,868,57426,2002
2,868,58572,2003
2,868,79926,2011
2,868,93354,2017
2,884,73296,2015
2,900,42258,2006
2,949,63456,2003
2,949,74946,2006
2,949,84876,2008
2,950,71382,2002
2,950,72810,2004
2,990,66006,2002
2,990,78006,2007
2,999,79224,2016
2,1000,80016,2017
2,1017,67908,2002
2,1046,80400,2006
2,1103,75102,2004
2,1103,90348,2008
2,1107,75372,2012
2,1107,83220,2016
2,1129,57744,2006
2,1151,68994,2014
2,1151,79224,2016
2,1156,68262,2007
2,1156,81900,2012
2,1156,89946,2014
2,1156,93588,2016
2,1180,81252,2010
2,1180,88830,2014
2,1201,79224,2016
2,1227,80778,2015
2,1227,87006,2017
2,1253,57426,2002
2,1253,58572,2004
2,1253,64662,2005
2,1267,71748,2013
2,1267,83220,2016
2,1286,79224,2016
2,1326,72810,2004
2,1326,80400,2005
2,1327,68262,2007
2,1327,97440,2017
2,1338,70716,2003
2,1338,70716,2004
2,1361,75816,2007
2,1361,75816,2008
2,1361,75816,2009
2,1361,86130,2013
2,1382,53136,2004
2,1382,68262,2008
2,1382,68262,2009
2,1382,73164,2010
2,1386,75372,2012
2,1386,79980,2014
2,1429,61512,2002
2,1429,81252,2010
2,1429,86130,2013
2,1429,95106,2016
2,1485,63720,2006
2,1485,68262,2009
2,1485,73164,2010
2,1485,78012,2013
2,1520,43104,2007
2,1520,69648,2010
2,1520,80778,2015
2,1592,68262,2007
2,1592,70656,2009
2,1592,86520,2015
2,1623,68382,2013
2,1635,63456,2004
2,1635,76446,2009
2,1635,86508,2011
2,1635,87372,2013
2,1635,100980,2017
2,1636,61566,2005
2,1636,72516,2006
2,1636,79278,2010
2,1685,63720,2006
2,1685,68262,2007
2,1685,68262,2008
2,1685,68262,2009
2,1685,74628,2011
2,1685,82788,2014
2,1685,83616,2015
2,1685,87006,2017
2,1707,70716,2004
2,1752,64992,2009
2,1752,75372,2012
2,1752,79980,2014
2,1752,80778,2015
2,1752,87006,2017
2,1757,94188,2006
2,1757,96072,2008
2,1822,52092,2002
2,1822,58572,2004
2,1822,78012,2012
2,1916,82746,2005
2,1916,85644,2006
2,1953,110370,2015
2,1969,79152,2006
2,1969,80736,2009
2,2154,54672,2002
2,2154,64662,2005
2,2154,66924,2006
2,2154,75726,2010
2,2172,43104,2013
2,2172,68994,2014
2,2172,80016,2017
2,2250,134400,2005
2,2250,139104,2006
2,2250,141888,2007
2,2250,151896,2010
2,2273,71382,2002
2,2278,79980,2014
2,2278,84054,2017
2,2300,54672,2002
2,2300,58572,2003
2,2300,77238,2011
2,2300,85662,2014
2,2300,86520,2015
2,2306,79980,2014
2,2306,87006,2017
2,2348,43104,2009
2,2415,83220,2016
2,2419,43104,2013
2,2419,73296,2015
2,2467,73476,2002
2,2467,74946,2003
2,2487,55764,2003
2,2487,64662,2005
2,2487,66924,2006
2,2489,42258,2006
2,2489,55728,2007
2,2489,61932,2009
2,2489,87006,2017
2,2497,82422,2005
2,2497,96072,2007
2,2502,60600,2003
2,2502,60600,2004
2,2502,66906,2005
2,2502,73116,2008
2,2502,73116,2009
2,2523,58572,2004
2,2523,68262,2008
2,2523,70656,2009
2,2542,61932,2009
2,2542,79980,2014
2,2603,58668,2005
2,2603,68262,2008
2,2603,68262,2009
2,2603,83616,2015
2,2604,62742,2004
2,2604,69270,2005
2,2604,75816,2008
2,2682,61566,2005
2,2682,66924,2006
2,2682,68262,2009
2,2682,78012,2013
2,2682,83616,2015
2,2700,69264,2003
2,2723,79224,2016
2,2732,68994,2014
2,2767,64662,2005
2,2767,75726,2010
2,2767,77238,2011
2,2767,78012,2013
2,2774,62742,2003
2,2774,71682,2005
2,2774,75816,2007
2,2789,77514,2004
2,2794,80724,2012
2,2794,92430,2016
2,2813,66924,2006
2,2813,68262,2008
2,2813,78012,2013
2,2813,85662,2014
2,2833,69684,2015
2,2833,75510,2016
2,2883,45750,2014
2,2883,76266,2017
2,2887,69264,2004
2,2887,80736,2007
2,2888,78450,2002
2,2920,42258,2006
2,2920,75372,2012
2,2920,75372,2013
2,2980,68262,2007
2,2980,75726,2010
2,2980,77238,2011
2,2980,78012,2013
2,3045,79224,2016
2,3114,73296,2015
2,3114,79224,2016
2,3114,84054,2017
2,3167,43104,2007
2,3167,83220,2016
2,3197,80724,2012
2,3223,50538,2004
2,3223,58668,2005
2,3223,68262,2007
2,3223,73164,2010
2,3232,71382,2002
2,3232,74946,2003
2,3232,93618,2010
2,3232,95490,2011
2,3247,52092,2002
2,3247,75726,2010
2,3264,57426,2002
2,3264,75726,2010
2,3264,79926,2011
2,3264,80724,2013
2,3264,85662,2014
2,3264,93354,2017
2,3343,82422,2004
