unit_id,complaints
126,1
104,1
76,1
157,1
224,1
127,1
92,1
78,1
99,1
137,1
129,1
109,1
162,1
252,2
70,2
188,2
164,2
169,2
74,2
96,2
56,2
138,2
34,3
238,3
61,3
47,3
46,4
189,4
79,4
88,4
86,5
72,5
228,5
87,5
203,5
90,5
27,5
111,5
124,6
128,6
84,7
145,7
192,8
94,8
115,11
160,11
133,11
241,12
178,14
171,15
255,16
140,18
121,18
210,19
216,19
263,19
151,22
261,22
75,23
106,27
69,28
193,28
213,31
85,31
198,32
155,32
219,33
130,33
134,33
123,34
180,37
41,37
114,39
179,39
146,41
182,42
222,46
59,46
131,47
132,48
217,49
206,55
105,55
223,57
54,58
93,58
259,60
264,60
55,60
82,64
176,67
142,67
38,69
262,69
204,71
181,71
51,74
260,87
211,89
40,89
194,90
191,92
200,101
42,105
220,106
112,108
52,112
183,113
177,117
148,131
53,141
83,143
118,144
107,145
50,155
199,156
214,160
175,168
80,184
31,188
49,201
64,211
36,216
174,335
122,359
173,372
234,385
141,407
235,422
152,440
170,492
136,512
153,573
117,632
35,726
172,752
229,794
218,807
168,855
221,901
65,942
215,966
236,1195
212,1227
208,1231
30,1539
225,1742
232,2241
14,3335
149,3413
2,3440
17,3536
22,3783
20,3928
21,4010
18,4012
24,4482
13,4596
119,5467
23,5703
25,6077
15,6529
19,6675
3,6925
16,7628
11,7904
26,8549
6,8682
4,9248
9,9371
10,9568
5,10117
7,10299
12,11259
8,13095
