officer_id,min(date),max(date),count,Date Range,Ratio
148,1992-11-11T00:00:00.000+0000,2008-12-31T00:00:00.000+0000,4,5894,1473.5
471,1981-06-20T00:00:00.000+0000,1985-04-29T00:00:00.000+0000,3,1409,469.67
833,1989-05-16T00:00:00.000+0000,2009-08-20T00:00:00.000+0000,44,7401,168.2
1088,1984-07-13T00:00:00.000+0000,1984-07-13T00:00:00.000+0000,1,0,0
1645,1992-06-16T00:00:00.000+0000,1995-07-30T00:00:00.000+0000,4,1139,284.75
1829,1998-10-23T00:00:00.000+0000,2004-05-25T00:00:00.000+0000,4,2041,510.25
1959,1990-10-01T00:00:00.000+0000,1995-02-04T00:00:00.000+0000,5,1587,317.4
2142,2016-03-08T00:00:00.000+0000,2016-03-08T00:00:00.000+0000,1,0,0
2366,1991-03-14T00:00:00.000+0000,2003-08-15T00:00:00.000+0000,2,4537,2268.5
2866,2000-01-07T00:00:00.000+0000,2012-09-15T00:00:00.000+0000,16,4635,289.69
3749,1991-06-08T00:00:00.000+0000,2010-12-22T00:00:00.000+0000,6,7137,1189.5
3794,1992-05-15T00:00:00.000+0000,1996-08-07T00:00:00.000+0000,3,1545,515
3997,2015-03-21T00:00:00.000+0000,2015-03-21T00:00:00.000+0000,1,0,0
4101,1999-02-27T00:00:00.000+0000,2015-02-04T00:00:00.000+0000,13,5821,447.77
4818,1989-11-03T00:00:00.000+0000,2001-08-18T00:00:00.000+0000,15,4306,287.07
4900,2014-01-30T00:00:00.000+0000,2015-01-23T00:00:00.000+0000,3,358,119.33
4935,1997-12-08T00:00:00.000+0000,2004-05-20T00:00:00.000+0000,6,2355,392.5
5300,1987-09-18T00:00:00.000+0000,1998-06-11T00:00:00.000+0000,11,3919,356.27
5518,1992-04-07T00:00:00.000+0000,1996-10-03T00:00:00.000+0000,9,1640,182.22
5803,2003-07-23T00:00:00.000+0000,2005-02-23T00:00:00.000+0000,2,581,290.5
6357,1989-12-11T00:00:00.000+0000,1998-05-29T00:00:00.000+0000,15,3091,206.07
6397,1997-03-24T00:00:00.000+0000,2013-11-26T00:00:00.000+0000,39,6091,156.18
6466,1989-11-11T00:00:00.000+0000,1992-02-14T00:00:00.000+0000,2,825,412.5
6620,1995-11-15T00:00:00.000+0000,2013-10-04T00:00:00.000+0000,26,6533,251.27
6658,2014-10-27T00:00:00.000+0000,2016-03-31T00:00:00.000+0000,3,521,173.67
7240,2008-07-13T00:00:00.000+0000,2016-02-15T00:00:00.000+0000,5,2773,554.6
7253,1993-02-11T00:00:00.000+0000,2007-04-03T00:00:00.000+0000,14,5164,368.86
7340,1993-01-14T00:00:00.000+0000,1997-09-09T00:00:00.000+0000,2,1699,849.5
7554,1992-02-12T00:00:00.000+0000,2001-04-26T00:00:00.000+0000,5,3361,672.2
7754,1992-03-31T00:00:00.000+0000,2000-10-11T00:00:00.000+0000,15,3116,207.73
7833,1991-07-02T00:00:00.000+0000,1991-07-02T00:00:00.000+0000,1,0,0
7982,1990-12-04T00:00:00.000+0000,2010-01-01T00:00:00.000+0000,45,6968,154.84
7993,1989-09-05T00:00:00.000+0000,2011-07-14T00:00:00.000+0000,29,7982,275.24
8086,2008-02-23T00:00:00.000+0000,2009-01-27T00:00:00.000+0000,3,339,113
8592,1996-11-25T00:00:00.000+0000,2008-05-13T00:00:00.000+0000,9,4187,465.22
8638,1997-12-19T00:00:00.000+0000,1997-12-19T00:00:00.000+0000,1,0,0
9376,1988-05-24T00:00:00.000+0000,1995-03-05T00:00:00.000+0000,4,2476,619
9427,1993-09-28T00:00:00.000+0000,1993-09-28T00:00:00.000+0000,1,0,0
9465,1993-01-28T00:00:00.000+0000,2000-05-01T00:00:00.000+0000,8,2650,331.25
9852,1992-09-21T00:00:00.000+0000,1999-08-24T00:00:00.000+0000,7,2528,361.14
9900,1996-02-10T00:00:00.000+0000,2003-04-18T00:00:00.000+0000,20,2624,131.2
10362,2011-04-30T00:00:00.000+0000,2014-08-18T00:00:00.000+0000,4,1206,301.5
10623,1987-05-05T00:00:00.000+0000,1994-06-29T00:00:00.000+0000,3,2612,870.67
10817,1998-12-06T00:00:00.000+0000,2006-01-13T00:00:00.000+0000,6,2595,432.5
11141,1993-06-07T00:00:00.000+0000,2010-10-08T00:00:00.000+0000,25,6332,253.28
11317,1991-09-03T00:00:00.000+0000,2001-04-23T00:00:00.000+0000,8,3520,440
11458,1999-03-04T00:00:00.000+0000,2000-08-27T00:00:00.000+0000,5,542,108.4
11858,2004-05-12T00:00:00.000+0000,2004-05-12T00:00:00.000+0000,1,0,0
12027,1996-04-04T00:00:00.000+0000,2012-02-03T00:00:00.000+0000,6,5783,963.83
12046,2002-02-22T00:00:00.000+0000,2003-04-05T00:00:00.000+0000,5,407,81.4
12799,2000-11-22T00:00:00.000+0000,2016-05-03T00:00:00.000+0000,7,5641,805.86
13285,1992-04-23T00:00:00.000+0000,2007-12-16T00:00:00.000+0000,5,5715,1143
13289,1984-01-27T00:00:00.000+0000,1984-01-27T00:00:00.000+0000,1,0,0
13623,1989-10-22T00:00:00.000+0000,2001-09-07T00:00:00.000+0000,47,4338,92.3
13832,1992-10-09T00:00:00.000+0000,1995-03-02T00:00:00.000+0000,4,874,218.5
13840,1991-05-07T00:00:00.000+0000,2001-09-30T00:00:00.000+0000,5,3799,759.8
14450,1997-06-08T00:00:00.000+0000,2016-01-02T00:00:00.000+0000,18,6782,376.78
14570,1998-10-15T00:00:00.000+0000,2008-10-09T00:00:00.000+0000,17,3647,214.53
14832,1991-03-02T00:00:00.000+0000,1996-11-24T00:00:00.000+0000,3,2094,698
15447,1989-05-02T00:00:00.000+0000,2004-01-06T00:00:00.000+0000,13,5362,412.46
15619,1986-12-29T00:00:00.000+0000,2000-04-20T00:00:00.000+0000,6,4861,810.17
15727,2007-10-20T00:00:00.000+0000,2014-01-19T00:00:00.000+0000,17,2283,134.29
15846,2001-03-23T00:00:00.000+0000,2001-03-23T00:00:00.000+0000,1,0,0
15957,2001-05-24T00:00:00.000+0000,2016-05-28T00:00:00.000+0000,16,5483,342.69
16339,1991-06-25T00:00:00.000+0000,2002-01-11T00:00:00.000+0000,6,3853,642.17
16574,1996-05-07T00:00:00.000+0000,2015-08-26T00:00:00.000+0000,13,7050,542.31
16861,2007-09-15T00:00:00.000+0000,2008-03-21T00:00:00.000+0000,2,188,94
17679,1989-05-17T00:00:00.000+0000,2015-06-03T00:00:00.000+0000,34,9513,279.79
17753,1993-03-09T00:00:00.000+0000,2002-08-17T00:00:00.000+0000,12,3448,287.33
18051,1991-04-12T00:00:00.000+0000,2012-07-01T00:00:00.000+0000,4,7751,1937.75
18866,1997-11-28T00:00:00.000+0000,1997-11-28T00:00:00.000+0000,1,0,0
18911,2005-01-18T00:00:00.000+0000,2015-05-19T00:00:00.000+0000,15,3773,251.53
18944,1992-07-14T00:00:00.000+0000,2008-03-14T00:00:00.000+0000,7,5722,817.43
18979,1989-10-09T00:00:00.000+0000,2010-12-22T00:00:00.000+0000,14,7744,553.14
19204,2001-10-10T00:00:00.000+0000,2014-04-21T00:00:00.000+0000,11,4576,416
19530,2006-12-15T00:00:00.000+0000,2009-01-30T00:00:00.000+0000,3,777,259
19984,2006-09-01T00:00:00.000+0000,2017-04-10T00:00:00.000+0000,8,3874,484.25
20135,1991-05-10T00:00:00.000+0000,1991-05-10T00:00:00.000+0000,1,0,0
20735,2005-05-15T00:00:00.000+0000,2014-08-11T00:00:00.000+0000,6,3375,562.5
20924,1982-05-15T00:00:00.000+0000,2006-03-24T00:00:00.000+0000,28,8714,311.21
21220,2003-07-12T00:00:00.000+0000,2014-12-30T00:00:00.000+0000,31,4189,135.13
22097,1985-12-04T00:00:00.000+0000,1996-01-30T00:00:00.000+0000,3,3709,1236.33
22346,1971-04-06T00:00:00.000+0000,1971-04-06T00:00:00.000+0000,1,0,0
22373,1990-10-04T00:00:00.000+0000,2002-12-27T00:00:00.000+0000,7,4467,638.14
22521,1993-04-20T00:00:00.000+0000,1993-04-20T00:00:00.000+0000,1,0,0
23015,1995-09-01T00:00:00.000+0000,1995-10-29T00:00:00.000+0000,2,58,29
23271,1989-07-17T00:00:00.000+0000,2000-10-24T00:00:00.000+0000,6,4117,686.17
24171,2003-06-29T00:00:00.000+0000,2014-07-16T00:00:00.000+0000,16,4035,252.19
24347,1990-11-17T00:00:00.000+0000,2001-12-15T00:00:00.000+0000,29,4046,139.52
24354,1990-12-20T00:00:00.000+0000,2004-10-06T00:00:00.000+0000,6,5039,839.83
24663,2001-07-18T00:00:00.000+0000,2014-06-14T00:00:00.000+0000,10,4714,471.4
26425,1991-03-29T00:00:00.000+0000,2007-05-15T00:00:00.000+0000,19,5891,310.05
26583,2007-03-10T00:00:00.000+0000,2015-07-15T00:00:00.000+0000,17,3049,179.35
27484,1990-12-25T00:00:00.000+0000,1997-10-04T00:00:00.000+0000,2,2475,1237.5
27760,2004-05-01T00:00:00.000+0000,2004-05-01T00:00:00.000+0000,1,0,0
28024,2008-06-09T00:00:00.000+0000,2016-01-07T00:00:00.000+0000,12,2768,230.67
28146,1991-03-05T00:00:00.000+0000,2001-02-08T00:00:00.000+0000,7,3628,518.29
28170,2006-10-28T00:00:00.000+0000,2012-01-29T00:00:00.000+0000,10,1919,191.9
28759,1987-07-14T00:00:00.000+0000,2012-02-05T00:00:00.000+0000,36,8972,249.22
28836,2006-11-12T00:00:00.000+0000,2011-01-31T00:00:00.000+0000,3,1541,513.67
29054,1993-10-05T00:00:00.000+0000,2016-04-21T00:00:00.000+0000,46,8234,179
29194,2009-06-11T00:00:00.000+0000,2010-08-06T00:00:00.000+0000,4,421,105.25
29285,2005-11-03T00:00:00.000+0000,2008-06-04T00:00:00.000+0000,2,944,472
29601,1988-07-27T00:00:00.000+0000,2014-03-04T00:00:00.000+0000,23,9351,406.57
29719,1989-02-07T00:00:00.000+0000,1993-10-08T00:00:00.000+0000,2,1704,852
29814,2001-10-27T00:00:00.000+0000,2016-05-29T00:00:00.000+0000,19,5328,280.42
29894,1999-06-07T00:00:00.000+0000,2013-03-20T00:00:00.000+0000,22,5035,228.86
29993,1987-05-21T00:00:00.000+0000,1991-04-20T00:00:00.000+0000,2,1430,715
30361,1984-07-05T00:00:00.000+0000,1998-03-08T00:00:00.000+0000,6,4994,832.33
30654,1999-02-22T00:00:00.000+0000,1999-02-22T00:00:00.000+0000,1,0,0
30970,2000-10-05T00:00:00.000+0000,2013-07-19T00:00:00.000+0000,18,4670,259.44
31035,1989-12-21T00:00:00.000+0000,1996-02-13T00:00:00.000+0000,8,2245,280.63
31261,1989-11-16T00:00:00.000+0000,2002-06-18T00:00:00.000+0000,11,4597,417.91
31367,2015-07-17T00:00:00.000+0000,2016-03-13T00:00:00.000+0000,5,240,48
31528,2007-08-06T00:00:00.000+0000,2015-03-05T00:00:00.000+0000,7,2768,395.43
31912,1996-05-13T00:00:00.000+0000,2011-08-26T00:00:00.000+0000,48,5583,116.31
31951,2003-03-18T00:00:00.000+0000,2014-03-18T00:00:00.000+0000,28,4018,143.5
31983,1995-02-23T00:00:00.000+0000,2012-10-26T00:00:00.000+0000,47,6455,137.34
32396,2008-05-16T00:00:00.000+0000,2013-03-04T00:00:00.000+0000,6,1753,292.17
32414,2005-01-16T00:00:00.000+0000,2014-11-26T00:00:00.000+0000,29,3601,124.17
243,1989-11-13T00:00:00.000+0000,2005-10-18T00:00:00.000+0000,24,5818,242.42
392,1997-03-01T00:00:00.000+0000,2011-05-28T00:00:00.000+0000,7,5201,743
540,1995-05-01T00:00:00.000+0000,1998-08-08T00:00:00.000+0000,4,1195,298.75
623,2015-01-08T00:00:00.000+0000,2015-01-08T00:00:00.000+0000,1,0,0
858,2007-01-22T00:00:00.000+0000,2009-08-05T00:00:00.000+0000,16,926,57.88
1084,1989-09-21T00:00:00.000+0000,2013-05-01T00:00:00.000+0000,21,8623,410.62
1127,1996-03-21T00:00:00.000+0000,2010-02-15T00:00:00.000+0000,21,5079,241.86
