allegation_id,officer_id,rank,salary,date,beat,SalaryBin
107865,95,Sergeant,97212,2016-01-09T00:00:00.000+0000,260,19
99554,95,Sergeant,97212,2013-11-19T00:00:00.000+0000,260,19
66056,95,Sergeant,97212,2008-01-20T00:00:00.000+0000,null,19
63226,95,Sergeant,97212,2007-09-02T00:00:00.000+0000,225,19
59424,95,Sergeant,97212,2007-02-25T00:00:00.000+0000,245,19
52574,95,Sergeant,97212,2006-01-29T00:00:00.000+0000,253,19
44147,95,Sergeant,97212,2005-01-30T00:00:00.000+0000,261,19
41299,95,Sergeant,97212,2004-09-08T00:00:00.000+0000,253,19
34773,95,Sergeant,97212,2003-11-18T00:00:00.000+0000,246,19
13092,95,Sergeant,97212,2001-06-16T00:00:00.000+0000,237,19
10672,95,Sergeant,97212,2001-03-20T00:00:00.000+0000,253,19
3225,95,Sergeant,97212,2000-05-03T00:00:00.000+0000,140,19
145079,29652,Police Officer,82788,1995-06-09T00:00:00.000+0000,null,14
108407,1,Sergeant,101442,2016-03-12T00:00:00.000+0000,187,21
97832,1,Sergeant,101442,2013-06-29T00:00:00.000+0000,59,21
94547,1,Sergeant,101442,2012-10-07T00:00:00.000+0000,82,21
79950,1,Sergeant,101442,2010-01-20T00:00:00.000+0000,64,21
66771,1,Sergeant,101442,2007-04-25T00:00:00.000+0000,186,21
51273,1,Sergeant,101442,2005-07-19T00:00:00.000+0000,203,21
89608,2,Sergeant,111474,2011-10-26T00:00:00.000+0000,94,22
89562,2,Sergeant,111474,2011-10-27T00:00:00.000+0000,68,22
88281,2,Sergeant,111474,2011-06-24T00:00:00.000+0000,135,22
84845,2,Sergeant,111474,2010-10-26T00:00:00.000+0000,69,22
82629,2,Sergeant,111474,2010-07-06T00:00:00.000+0000,94,22
79436,2,Sergeant,111474,2009-12-12T00:00:00.000+0000,78,22
77686,2,Sergeant,111474,2009-08-20T00:00:00.000+0000,68,22
61109,2,Sergeant,111474,2007-05-24T00:00:00.000+0000,69,22
7758,4,Sergeant,98184,2000-08-16T00:00:00.000+0000,181,20
180089,4,Sergeant,98184,2000-08-16T00:00:00.000+0000,null,20
170998,4,Sergeant,98184,1999-04-19T00:00:00.000+0000,null,20
148244,4,Sergeant,98184,1995-11-16T00:00:00.000+0000,null,20
145843,4,Sergeant,98184,1995-07-12T00:00:00.000+0000,null,20
138983,4,Sergeant,98184,1994-07-30T00:00:00.000+0000,null,20
124011,4,Sergeant,98184,1992-02-11T00:00:00.000+0000,null,20
128745,5,Police Officer,61518,1992-11-02T00:00:00.000+0000,null,5
127849,5,Police Officer,61518,1992-10-19T00:00:00.000+0000,null,5
122188,5,Police Officer,61518,1991-10-12T00:00:00.000+0000,null,5
120334,5,Police Officer,61518,1991-06-04T00:00:00.000+0000,null,5
59906,6,Police Officer,87048,2007-03-23T00:00:00.000+0000,42,15
59337,6,Police Officer,87048,2007-02-19T00:00:00.000+0000,168,15
42851,6,Police Officer,87048,2004-11-21T00:00:00.000+0000,132,15
17185,6,Police Officer,87048,2001-11-23T00:00:00.000+0000,77,15
174529,6,Police Officer,87048,1999-11-19T00:00:00.000+0000,null,15
159141,6,Police Officer,87048,1997-05-21T00:00:00.000+0000,null,15
85287,7,Sergeant,99444,2010-12-30T00:00:00.000+0000,49,20
59994,7,Sergeant,99444,2007-03-18T00:00:00.000+0000,72,20
40326,7,Sergeant,99444,2004-06-30T00:00:00.000+0000,62,20
38385,7,Sergeant,99444,2004-05-01T00:00:00.000+0000,63,20
169266,7,Sergeant,99444,1998-12-23T00:00:00.000+0000,null,20
168698,7,Sergeant,99444,1998-11-13T00:00:00.000+0000,null,20
167335,7,Sergeant,99444,1998-08-25T00:00:00.000+0000,null,20
51674,8,Sergeant,70488,2006-01-06T00:00:00.000+0000,200,9
11451,8,Sergeant,70488,2001-04-20T00:00:00.000+0000,64,9
115025,9,Detective,90540,1990-03-26T00:00:00.000+0000,null,17
113594,9,Detective,90540,1989-10-06T00:00:00.000+0000,null,17
113489,9,Detective,90540,1989-10-02T00:00:00.000+0000,null,17
165515,11,Sergeant,99756,1998-05-17T00:00:00.000+0000,null,20
153352,11,Sergeant,99756,1996-08-03T00:00:00.000+0000,null,20
131040,11,Sergeant,99756,1993-04-14T00:00:00.000+0000,null,20
129360,11,Sergeant,99756,1993-01-07T00:00:00.000+0000,null,20
126988,11,Sergeant,99756,1992-08-13T00:00:00.000+0000,null,20
125983,11,Sergeant,99756,1992-06-14T00:00:00.000+0000,null,20
120285,11,Sergeant,99756,1991-07-16T00:00:00.000+0000,null,20
155657,12,Detective,63456,1996-11-23T00:00:00.000+0000,null,6
138753,12,Detective,63456,1994-07-02T00:00:00.000+0000,null,6
131293,12,Detective,63456,1993-04-29T00:00:00.000+0000,null,6
117739,12,Detective,63456,1990-10-09T00:00:00.000+0000,null,6
112593,12,Detective,63456,1988-06-29T00:00:00.000+0000,null,6
112549,12,Detective,63456,1988-05-23T00:00:00.000+0000,null,6
111854,12,Detective,63456,1985-09-11T00:00:00.000+0000,null,6
84376,13,Sergeant,104628,2010-10-11T00:00:00.000+0000,53,21
7525,13,Sergeant,104628,2000-10-24T00:00:00.000+0000,27,21
179955,13,Sergeant,104628,2000-10-24T00:00:00.000+0000,null,21
167627,13,Sergeant,104628,1998-09-09T00:00:00.000+0000,null,21
148407,13,Sergeant,104628,1995-11-26T00:00:00.000+0000,null,21
140888,13,Sergeant,104628,1994-10-14T00:00:00.000+0000,null,21
134691,13,Sergeant,104628,1993-10-19T00:00:00.000+0000,null,21
126535,13,Sergeant,104628,1992-07-13T00:00:00.000+0000,null,21
