Officer,Complaints,salary
260,14,74946
437,7,69270
537,3,87372
653,10,80022
756,7,105864
856,11,81900
938,1,84876
966,12,70488
982,14,71700
1101,4,87420
1172,53,93648
1247,9,70488
2149,13,69264
2593,1,80400
2799,2,93648
3314,15,70488
3350,46,99444
3531,9,68616
4381,13,50538
4530,65,73164
4841,11,64578
5161,8,78012
5185,4,67326
5239,31,75816
5388,18,67326
6062,2,83616
6821,19,58572
6895,5,77238
6927,1,73164
7072,49,57426
7141,13,75372
7157,6,64662
7432,9,103932
7792,1,53136
7811,11,47604
8430,3,89130
8537,10,83220
8780,11,89130
8992,24,73116
9034,12,85662
9349,1,69648
9404,10,70656
9563,1,78006
9583,45,58572
9698,3,73164
9780,2,75372
10585,30,73116
11117,32,64992
11122,8,75372
11549,16,68262
12356,1,83706
12786,1,99978
12873,1,78006
12884,7,86130
13087,5,65646
13102,12,64992
13440,1,73164
13670,22,73164
13766,1,58572
13776,26,85662
13778,8,92430
13870,2,79926
13891,15,65646
14223,4,63720
14716,10,125190
15895,2,43104
15952,3,73116
17087,41,82788
17277,8,85662
17339,13,85278
17343,11,70296
17993,5,55764
18461,6,74946
18492,8,78360
18596,5,75102
19144,45,71748
20261,3,74946
20354,10,73296
20559,2,102978
20971,25,43104
21225,7,69270
21302,10,70656
21891,15,78360
22015,8,70656
22062,14,54672
22277,7,46206
22505,3,68262
22598,3,97044
22643,10,68262
22889,1,79980
23047,2,69264
23154,9,64992
23788,3,58572
23820,4,58572
24251,35,57426
24305,2,59412
24543,14,75726
24622,15,65868
24625,9,79632
25738,8,84810
26449,2,75816
26582,4,75372
26746,2,73164
26789,21,88830
26898,2,83706
27038,5,65016
27588,17,75816
27678,14,58572
27804,1,84402
28183,2,80808
28327,37,80736
28546,6,82008
29069,1,69270
29081,11,72726
29273,8,61518
29389,18,61932
30528,8,86142
30661,4,66924
30910,14,71682
31155,8,75816
31587,5,82788
31873,23,71790
31943,23,84054
32033,17,90846
32101,5,80724
32323,20,82878
32347,45,57426
740,15,70488
1067,2,72726
1124,5,74178
1665,13,70488
1742,6,87534
1910,12,92718
2190,8,63672
2248,1,102564
3965,27,104628
4205,12,86142
4858,10,73116
5016,3,64992
5217,2,64356
5303,2,92430
5757,5,91446
6372,10,68616
6440,8,60600
6713,33,75726
6727,1,58896
6734,17,79980
6768,10,78006
7071,9,90024
7613,16,70656
7743,4,82422
7747,4,96072
7889,21,61932
7896,14,83616
8258,19,81252
8629,8,89130
8946,1,70656
10165,8,78012
10327,3,69270
10703,6,101442
11294,1,69270
11701,11,75816
12089,4,68262
12158,5,83616
12587,3,72810
12631,18,92430
13700,10,78012
14199,5,75726
14349,3,89718
14568,9,93708
14662,15,74946
15164,3,68262
15418,2,93354
15873,6,73296
15877,3,67884
16183,13,57426
16428,6,79224
16456,4,52092
17483,2,75372
17942,2,86142
18438,7,54672
18696,1,71382
19289,22,66924
19471,1,55764
19660,26,84054
19786,16,70656
19979,8,43104
20341,4,68262
20536,4,69270
20577,13,57426
20734,3,57426
20890,14,40830
21033,7,96084
21345,7,76446
21948,2,58572
22746,9,75816
22767,3,50538
23315,1,77238
23360,11,36984
23608,6,85662
23982,8,80724
24062,8,61512
24256,8,70656
24282,4,75102
24353,12,62742
24415,23,96648
24665,6,59412
24678,2,111474
24688,3,75372
24816,5,64662
25022,6,72510
25273,33,58896
25348,5,60600
25664,16,75372
27076,8,81252
27119,8,72810
27373,17,58572
27587,4,75816
27844,7,70656
27879,8,73116
28024,12,75816
28133,4,69264
28248,3,62742
28430,17,100980
28446,7,92316
28484,10,119340
28904,19,68262
28967,3,70656
29196,6,71682
29283,1,84756
29340,1,55764
29390,2,64992
29419,1,68262
29452,41,93354
29494,18,89130
29540,5,75726
30059,11,57426
30871,5,88578
31108,10,68262
31391,3,90024
31483,4,107988
31656,6,77238
1066,5,58572
1348,4,77580
1419,1,76446
2047,12,101442
2188,2,75102
2404,15,82152
2690,1,70488
3198,1,60600
3405,11,73968
3682,14,73116
3961,9,96648
4459,8,75510
5065,1,47808
5370,6,96648
5444,89,93354
5512,11,78360
5706,5,78360
6378,1,70656
6480,5,90024
6534,7,36984
6638,1,68382
6678,67,88830
6789,7,64992
7078,4,70656
7140,1,75372
7260,15,79224
7264,20,73296
7325,6,79134
7535,11,82788
7656,12,82008
8234,10,73116
8803,1,68262
8965,6,78012
9179,2,86130
10319,1,109278
10399,36,99978
10625,3,78012
10647,6,90960
10818,13,81924
11383,27,75102
11556,6,85662
11769,17,121728
11800,5,110370
11948,6,64926
12257,9,96084
12791,18,80022
12850,16,58572
12949,2,89718
13938,9,79926
14274,1,78012
14637,19,43104
14777,3,89130
14834,1,70656
15751,7,75726
15947,16,60600
15961,1,43104
16186,3,83214
16886,22,94188
17140,9,68262
17597,9,74628
17751,8,74178
18036,15,66906
18046,15,58572
18688,21,73164
19075,22,66906
19716,7,75372
19895,1,90024
20252,6,50538
20422,19,42258
20706,24,75372
21059,15,73116
21104,12,87888
21418,3,70656
21783,6,75372
22102,11,78012
22321,11,83616
23186,1,68262
23361,11,50538
23635,1,67326
24182,1,77580
24493,4,86520
24780,23,75816
25772,53,36984
26069,3,89718
26398,2,75816
26500,9,83706
26591,3,69270
27065,4,80778
27434,6,64926
27471,1,88260
27531,2,80724
28220,5,58572
28590,2,81252
28782,12,58896
29372,8,58572
29954,20,69270
30609,6,36984
31041,5,58572
31100,1,120264
31169,8,59412
31545,2,49548
32291,20,50538
32394,6,81252
32417,8,57426
187,5,185364
291,9,72726
294,15,72480
361,21,74178
1129,2,88830
1751,2,70062
1827,3,87534
2601,1,74178
2611,8,73968
3461,5,63672
3908,23,68994
4286,23,43104
4445,1,99756
4687,7,50538
4910,2,141888
5499,10,71682
5933,4,82788
6255,1,57426
6551,1,65016
6557,10,71790
6947,10,158832
7568,12,61512
7658,4,87888
7966,2,58668
7969,1,68262
8032,9,88830
9736,7,75372
10180,3,78012
10803,8,78384
10949,3,50538
10985,3,81252
10993,3,55728
11792,4,90348
11918,25,83706
12201,1,79926
12740,7,58896
12827,5,80724
13265,1,58572
13350,12,82878
13576,54,58572
13655,11,104628
13735,2,72516
14266,6,64662
14463,6,67884
14743,43,68262
14956,7,73164
15055,25,70656
15385,2,53136
15419,1,36984
15842,11,64992
15854,10,69270
16934,21,136170
17090,14,90024
17040,4,73116
17114,46,80778
17181,16,95106
17885,1,176532
18322,26,68262
18820,5,65868
19149,15,61512
19306,14,75816
19598,19,42258
19706,11,46206
19830,1,75816
19897,14,58572
20948,1,87006
21024,26,60600
21437,5,80778
21701,1,86130
21887,33,69270
21939,3,74628
22091,18,107988
22253,6,93276
22289,2,84396
22349,1,68262
22459,2,70296
22610,47,75372
22658,13,59412
22783,2,72726
22905,17,88830
23107,8,64662
23555,7,74328
23791,4,69270
23847,1,97080
24148,6,69108
24394,6,58572
24428,3,78360
24453,2,74946
24884,12,57426
25115,1,74946
25319,28,69270
25810,7,92268
26176,2,50538
26316,4,73116
26615,1,77580
26827,2,75102
26867,1,86142
27355,7,96648
27361,1,61512
28085,13,80400
28147,6,67908
28339,1,73116
28397,10,84810
28555,8,68262
28725,8,78360
28747,16,47604
28984,1,89646
28987,12,60600
28996,8,83706
29299,38,83616
29825,2,66906
30256,2,90024
30388,53,82746
30569,1,64926
30598,9,68262
30786,1,70656
31114,1,80724
31998,8,78360
32014,11,74628
32040,6,70656
32421,11,66924
789,1,99444
1469,9,75102
1573,18,65646
1619,12,76764
2109,3,81900
2346,24,104628
2683,3,80544
2752,4,102564
2930,16,71700
3007,7,80400
3674,2,68994
3756,2,58572
4187,2,74628
4544,2,87534
4625,1,66924
4720,28,101442
4749,5,58896
4782,8,73164
5082,13,61932
5252,14,83706
5556,6,70656
6108,1,66378
6640,6,80778
6966,5,111474
6994,4,68262
7368,22,61512
7438,2,68262
7443,22,54636
7817,18,68262
7823,4,78012
8408,2,73164
8432,47,67908
8731,9,86142
9007,1,68262
9262,24,109278
9557,9,64926
10376,1,65016
10471,9,79980
10492,13,69270
10534,14,64662
10886,4,66924
11028,14,77238
11481,4,64356
12216,15,83916
12500,13,89718
13036,8,68262
13832,4,185364
13849,1,66924
13985,7,104628
14256,5,68262
14340,1,71682
14443,13,78006
14602,13,70260
14912,12,82788
15421,9,50538
15607,3,40830
15685,5,71748
15707,16,80724
16167,16,93354
16187,13,84876
16295,5,86142
16341,22,78012
16749,1,76266
16941,19,70656
17998,4,68262
18084,12,80724
18179,1,58572
18254,9,82878
18827,4,60600
18909,7,89718
19145,3,79980
19330,2,60600
19473,5,64662
19487,2,134400
19685,13,67326
20281,4,79980
20624,2,84756
20725,1,69648
21077,26,74628
21571,16,71382
21820,4,52092
22064,15,58572
22219,9,73116
22221,6,73116
22407,14,45750
22410,15,76266
22430,2,66906
22621,6,59412
23153,41,60720
23190,13,78012
23202,28,90348
23249,6,58572
23302,42,96648
23675,1,75816
23956,7,64662
24632,32,61530
25474,1,77514
25638,20,86142
26349,13,95106
26611,4,103932
26949,2,80778
26959,31,75372
27251,18,77238
