,Indoor,Taser,FirearmUsed,OfficerInUniform,SubjectArmed,SubjectInjured,Lighting_DAYLIGHT,Lighting_GOOD ARTIFICIAL,Lighting_NIGHT,SubjectGender_F,SubjectGender_M,SubjectRace_ASIAN/PACIFIC ISLANDER,SubjectRace_BLACK,SubjectRace_HISPANIC,SubjectRace_NATIVE AMERICAN/ALASKAN NATIVE,SubjectRace_WHITE
0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0
1,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0
2,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0
3,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0
4,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0
5,0,0,0,1,1,1,1,0,0,0,1,0,0,1,0,0
6,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0
7,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0
8,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0
9,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0
10,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0
11,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0
12,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1
13,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
14,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
15,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
16,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
17,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
18,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
19,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0
20,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0
21,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
22,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
23,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0
24,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0
25,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0
26,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
27,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0
28,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0
29,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0
...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
62171,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0
62172,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0
62173,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0
62174,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0
62175,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0
62176,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0
62177,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0
62178,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
62179,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
62180,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0
62181,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0
62182,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0
62183,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0
62184,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0
62185,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0
62186,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0
62187,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0
62188,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0
62189,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0
62190,0,1,0,1,0,1,1,0,0,0,1,0,1,0,0,0
62191,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0
62192,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
62193,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
62194,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0
62195,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0
62196,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0
62197,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0
62198,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0
62199,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0
62200,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0
