Photo Id, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r
cf_001_a_1,0.51,0.15,0.65,0.87,0.22,1.1,0.29,1.02,0.38,0,0.95,0.26,1.26,0,0,0.05,0
cf_001_n_1,0.73,1.04,0,0.49,0,0.56,0.17,0.31,0.09,0,0.71,0,1.16,0.23,0,0.14,0
cf_002_a_1,0.61,0.43,0.42,0.9,0.17,1.3,0,0,0.25,0,0.7,0.53,1.11,0.84,0.32,0.47,0.29
cf_002_n_1,0.86,0.71,0.02,0.74,0.3,1.19,0,0,0.76,0.03,0.38,0.65,1.35,0.98,0.3,1.03,0.33
cf_003_a_1,0.49,0,1.06,0.13,0.42,2.16,0,0.74,0.21,0.48,1.2,1.7,1.35,0.74,0.83,0.85,0.14
cf_003_n_1,0.45,0.31,0.72,0.35,0,0,0,0,0.01,0.46,0.66,1.48,2.3,1.24,0.56,0.64,0
cf_004_a_1,0.67,0.28,1.5,0.01,0.93,0,0.18,0.64,0.94,1.33,0,0.98,1.65,0.77,0,1.08,0
cf_004_n_1,0,0,0.53,1.17,0,0,0,0,0.04,0,0.39,0,1.11,0.37,0.23,0.41,0
cf_005_a_1,1.53,1.85,0.89,0,0.33,0.05,0.69,1.24,0.54,1.66,0,1.17,0.31,0,0.61,0.21,0
cf_005_n_1,0.98,1.4,0.12,0.31,0.36,0,0,1.28,1.75,2.41,0,1.42,0,0.29,0.41,1.1,0
cf_006_a_1,1.24,0.8,0.99,1.35,0,0,0,0,0,0.05,0.09,1.05,1.45,0.78,0,0.45,0
cf_006_n_1,1.53,0.98,0.72,1.49,0,0,0,0,0,0,0.81,1.04,0.94,0.37,0,0,0.84
cm_001_a_1,0,0,0.96,0,0.36,0.9,1.3,0,0,0,0.26,0.24,0,0.23,0,0,0.13
cm_001_n_1,0,0,0.18,0.26,0,0,0.52,0,0,0,0.59,0,0,0.23,0,0,0
cm_002_a_1,0,0,1.71,0.37,1.27,0,1.93,1.62,0.98,1.1,0.37,0.95,0.18,0.54,0.42,0.86,0.23
cm_002_n_1,0.21,0.3,0.79,1.36,0.17,0,0.58,0.75,0.47,1.25,0.3,0,0.93,0.31,0.31,0.54,0.71
cm_003_a_1,1.1,0,1.42,0,0.35,0.36,0,1.09,0.48,0.04,0.57,1.11,1.47,0.93,0.96,1.25,0.32
cm_003_n_1,1,0.1,1.92,0,0.19,0.62,0.09,0,0.09,1.17,0,0,0.88,0.3,0.43,1.12,0.84
cm_004_a_2,0.77,0,0.32,0.7,0,0,0,0,0,0,0.2,0.81,0.25,1.26,0,0.53,0.21
cm_004_n_2,0.53,0,0,0.8,0,0,0,0,0,0,0.13,0,0,0.49,0,0.3,0.13
cm_005_a_1,0.55,0,2.91,0,1.03,3.86,0.11,0.91,0.51,1.22,0.65,2.3,0.92,1.14,0,0,1.43
cm_005_n_3,0.69,0,0.04,0.1,0.05,0.76,0,0.54,0.29,0,1.26,1.42,0.58,0.45,0,0,0.95
saf_001_a_1,0.58,0.18,0.56,0.87,0.7,0.11,0.96,0.49,0,0.16,1.03,1.3,0.66,0,0,0.61,0
saf_001_n_1,0.37,0.26,0.25,1.83,1.02,0,0.22,0.38,0,0.3,1.21,0.94,1.13,0,0,0,0
saf_002_a_1,0.49,0.01,0,0,2.11,2.25,0.97,1.94,0.83,0.4,1.67,1.3,1.74,0.03,1,0.87,1.09
saf_002_n_1,1.04,0.71,0,1.02,0.3,0.72,0.28,0.43,0,0,1.5,0.2,1.59,0.14,0.84,0.96,0.73
saf_003_a_3,0.37,0.06,1.43,1.3,0.47,0,1.52,1.51,0.29,0.59,0.23,0.08,0.14,0,0.45,0,0.21
saf_003_n_1,0.47,0.76,0,1.87,0,0,0.98,0.45,0,0,0.09,0.34,0,0,0.17,0,0
saf_004_a_1,0,0,0.23,0,0.43,0.64,0.39,0.16,0.03,0.03,0.17,0,0.63,0,0,0.18,0
saf_004_n_2,0,0,0,0,0.42,0.17,0,0,0.63,0.25,0,0,0.55,0,0,0,0
sam_001_a_2,1.41,1.5,0,0.67,0.31,0.43,0,1.04,0.87,1.23,0,0.32,0.06,0.88,1.28,1.45,0.43
sam_001_n_2,1.26,1.4,0,1.24,0.82,1.17,0,1.28,1.41,2.51,0,1.34,0.44,1.03,1.22,0.34,0.29
sam_002_a_1,0.17,0.77,0,0.77,0.4,0,0.21,0.46,0.53,0.05,0.47,0.43,1,0,0.54,0.56,0
sam_002_n_2,0.31,0.94,0.42,0.92,0.48,0,0,0.04,0.95,0.52,0,0.45,1.31,0.11,0.79,1.57,0
sam_003_a_2,0.84,0.6,1.7,0.39,0.76,0,0.66,1.48,0,0,0.5,1.12,1.27,0.89,0,0.63,0.34
sam_003_n_1,0.85,0.58,1.02,0,0.68,0,0.12,0.91,0.16,0,0,1.83,0,0.68,0,0.03,0
sam_004_a_2,1.38,1.07,0.28,0.31,0.85,0.88,1.51,2.12,0.89,0.28,0,2.01,0,0.64,0.89,0.67,0.67
sam_004_n_1,1.16,0.91,0.16,0.44,0.73,0.88,0.99,1.66,0.71,0.52,0,1.84,0,0.45,0.61,0.9,0.53
sam_005_a_1,0.21,0,0.81,0,1.35,0.45,1.39,1.75,0.62,1.61,0.11,1.83,0,0.26,0,0,0
sam_005_n_2,0.87,0.2,0,0,0.98,0,0.8,1.93,0.83,0.28,0.69,1.22,0.28,0,0.21,0.34,0.04
sam_006_a_2,0.94,0.52,1.38,0,1.07,0.68,0.96,0.84,0.56,2.12,0,1.09,0.03,0.17,0,0,0
sam_006_n_2,1.61,0.91,0.44,0.46,0.93,0.12,1.22,0.85,0.37,1.55,0.06,0.59,0,0,0.23,0.42,0
