Timestamp,age,gender,race,race_p1,race_p2,raised_in,cf_001_a_1_anger,cf_001_a_1_pleasure,cf_001_a_1_arousal,cf_001_a_1_dominance,sam_005_n_2_neutral,sam_005_n_2_pleasure,sam_005_n_2_arousal,sam_005_n_2_dominance,cf_002_n_1_neutral,cf_002_n_1_pleasure,cf_002_n_1_arousal,cf_002_n_1_dominance,sam_004_a_2_anger,sam_004_a_2_pleasure,sam_004_a_2_arousal,sam_004_a_2_dominance,cf_004_a_1_anger,cf_004_a_1_pleasure,cf_004_a_1_arousal,cf_004_a_1_dominance,sam_002_n_2_neutral,sam_002_n_2_pleasure,sam_002_n_2_arousal,sam_002_n_2_dominance,cf_005_n_1_neutral,cf_005_n_1_pleasure,cf_005_n_1_arousal,cf_005_n_1_dominance,sam_001_a_2_anger,sam_001_a_2_pleasure,sam_001_a_2_arousal,sam_001_a_2_dominance,cm_001_a_1_anger,cm_001_a_1_pleasure,cm_001_a_1_arousal,cm_001_a_1_dominance,saf_003_n_1_neutral,saf_003_n_1_pleasure,saf_003_n_1_arousal,saf_003_n_1_dominance,cm_002_n_1_neutral,cm_002_n_1_pleasure,cm_002_n_1_arousal,cm_002_n_1_dominance,saf_002_a_1_anger,saf_002_a_1_pleasure,saf_002_a_1_arousal,saf_002_a_1_dominance,cm_004_a_2_anger,cm_004_a_2_pleasure,cm_004_a_2_arousal,cm_004_a_2_dominance,cm_005_n_3_neutral,cm_005_n_3_pleasure,cm_005_n_3_arousal,cm_005_n_3_dominance
6/3/2019 13:32:51,28,Female,South Asian,South Asian,South Asian,South Asia,7,2,5,6,6,1,4,4,2,5,6,4,10,1,6,6,8,2,5,6,2,5,2,5,7,5,5,6,3,3,3,2,7,1,5,6,6,1,1,2,2,5,2,4,2,5,5,5,5,3,5,6,1,1,1,1
6/4/2019 8:20:37,38,Female,South Asian,South Asian,South Asian,South Asia,3,2,3,4,1,2,3,2,1,4,3,2,5,2,2,2,4,1,3,2,1,5,5,5,1,5,3,3,3,3,3,4,4,2,4,5,3,2,2,2,3,3,3,2,1,4,3,3,5,2,2,2,4,1,1,1
6/4/2019 14:43:26,35,Female,South Asian,South Asian,South Asian,South Asia,4,3,3,4,5,3,4,3,2,3,2,4,2,4,3,4,2,3,4,3,4,3,4,4,2,2,5,4,2,3,5,5,2,3,4,5,2,2,2,5,3,3,4,3,2,2,4,4,2,3,4,5,4,4,3,4
6/3/2019 21:55:16,27,Female,South Asian,South Asian,South Asian,South Asia,2,1,1,4,1,3,3,4,1,3,1,1,8,1,3,5,6,4,2,3,2,4,3,2,6,3,3,3,8,3,3,5,7,3,3,5,7,3,3,4,6,3,4,3,6,3,3,3,7,4,4,5,6,3,4,4
6/3/2019 13:35:08,25,Female,White,White,White,US,7,2,4,3,2,3,1,1,2,4,1,1,4,3,1,1,6,1,6,5,1,5,5,2,2,4,1,2,3,4,1,2,5,2,5,5,3,3,1,3,3,3,1,3,2,3,1,2,5,2,5,4,1,3,1,1
6/3/2019 13:37:43,26,Female,White,White,White,US,2,2,3,3,1,4,1,3,2,5,3,4,1,2,2,3,2,3,4,4,3,5,4,4,1,4,4,3,1,5,3,3,3,2,5,5,1,2,3,2,1,3,3,3,1,4,4,3,4,1,5,5,1,4,3,3
6/3/2019 21:57:04,30,Male,South Asian,South Asian,South Asian,South Asia,3,1,1,4,3,1,1,4,1,4,2,3,4,1,1,2,2,2,3,6,1,4,3,3,1,3,2,3,1,3,3,5,1,4,3,6,3,1,3,4,1,3,3,4,1,5,4,2,3,1,3,5,3,1,1,4
6/4/2019 8:32:32,26,Male,South Asian,South Asian,South Asian,South Asia,7,3,4,4,1,3,1,1,1,5,2,4,7,2,3,4,9,1,6,6,1,4,1,1,1,4,2,5,7,2,4,5,7,3,4,5,5,3,4,3,5,3,3,3,10,1,6,6,10,1,6,4,5,4,3,4
6/5/2019 11:19:00,25,Male,South Asian,South Asian,South Asian,South Asia,4,2,2,2,8,1,5,4,5,4,4,3,7,4,3,3,6,4,4,4,1,6,5,5,1,6,6,5,5,4,4,4,3,4,4,5,5,3,2,3,3,4,4,4,5,3,3,3,7,3,4,3,5,3,3,3
6/3/2019 11:18:14,26,Male,White,White,White,US,4,4,3,4,3,4,3,3,2,5,4,3,6,2,2,4,5,3,4,4,3,4,3,3,3,4,4,3,3,3,3,4,6,2,4,4,4,3,3,4,3,3,3,3,4,3,3,3,6,2,3,3,4,3,3,2
6/3/2019 11:30:38,26,Male,White,White,White,US,6,1,4,5,2,3,1,3,1,5,4,2,5,2,3,3,5,1,5,5,1,3,1,3,4,2,2,2,1,3,2,2,6,2,3,4,4,2,2,3,3,1,1,3,1,4,4,3,7,4,3,3,1,3,1,2
6/4/2019 11:08:24,26,Male,White,White,White,US,5,1,3,3,2,3,1,2,1,3,1,2,4,2,1,4,5,1,4,2,1,5,2,4,1,5,2,2,1,3,1,3,6,2,3,4,2,2,1,3,1,3,1,3,1,4,2,4,4,2,2,3,1,3,1,3
6/4/2019 20:24:20,29,Male,White,White,White,US,2,3,2,3,2,3,2,3,1,4,3,3,3,3,3,3,2,3,4,3,2,4,3,3,2,4,3,3,2,3,3,4,4,2,4,4,3,3,3,4,1,4,3,3,3,2,3,4,2,3,3,3,2,3,3,3
