Timestamp,age,gender,race,race_p1,race_p2,raised_in,cf_001_n_1_neutral,cf_001_n_1_pleasure,cf_001_n_1_arousal,cf_001_n_1_dominance,sam_006_a_2_anger,sam_006_a_2_pleasure,sam_006_a_2_arousal,sam_006_a_2_dominance,cf_003_a_1_anger,cf_003_a_1_pleasure,cf_003_a_1_arousal,cf_003_a_1_dominance,sam_004_n_1_neutral,sam_004_n_1_pleasure,sam_004_n_1_arousal,sam_004_n_1_dominance,cf_004_n_1_neutral,cf_004_n_1_pleasure,cf_004_n_1_arousal,cf_004_n_1_dominance,sam_003_a_2_anger,sam_003_a_2_pleasure,sam_003_a_2_arousal,sam_003_a_2_dominance,cf_006_a_1_anger,cf_006_a_1_pleasure,cf_006_a_1_arousal,cf_006_a_1_dominance,sam_001_n_2_neutral,sam_001_n_2_pleasure,sam_001_n_2_arousal,sam_001_n_2_dominance,cm_001_n_1_neutral,cm_001_n_1_pleasure,cm_001_n_1_arousal,cm_001_n_1_dominance,saf_004_a_1_anger,saf_004_a_1_pleasure,saf_004_a_1_arousal,saf_004_a_1_dominance,cm_003_a_1_anger,cm_003_a_1_pleasure,cm_003_a_1_arousal,cm_003_a_1_dominance,saf_002_n_1_neutral,saf_002_n_1_pleasure,saf_002_n_1_arousal,saf_002_n_1_dominance,cm_004_n_2_neutral,cm_004_n_2_pleasure,cm_004_n_2_arousal,cm_004_n_2_dominance,saf_001_a_1_anger,saf_001_a_1_pleasure,saf_001_a_1_arousal,saf_001_a_1_dominance
6/3/2019 16:01:44,22,Female,White,White,White,US,1,3,1,2,1,2,2,2,4,1,4,4,2,2,3,2,1,2,2,2,3,2,3,4,1,3,1,1,1,5,3,4,4,1,3,4,1,3,2,4,1,3,1,2,1,2,1,2,1,3,1,2,5,1,5,4
6/3/2019 17:24:24,22,Female,White,White,White,US,1,4,1,3,1,2,1,3,6,1,4,4,2,2,3,3,1,3,2,2,7,1,4,4,1,4,2,2,1,6,4,3,5,1,3,4,2,2,3,3,1,4,2,3,1,2,3,3,2,3,1,2,2,2,4,4
6/3/2019 17:35:16,20,Female,White,White,White,US,5,3,2,4,6,2,3,5,8,1,4,5,6,1,2,3,6,2,2,4,7,1,4,4,4,2,1,2,1,4,2,2,8,1,4,4,7,1,2,3,4,2,2,3,5,3,2,3,2,2,1,2,7,1,3,4
6/3/2019 18:47:44,22,Female,White,White,White,US,7,2,1,3,3,4,1,2,8,2,2,4,2,1,1,1,3,2,3,1,3,1,4,4,1,3,1,1,1,5,2,3,6,1,4,5,1,2,2,2,1,1,3,3,4,4,1,3,2,4,1,1,6,2,3,4
6/3/2019 19:40:16,22,Female,White,White,White,US,4,3,3,4,6,2,2,4,8,1,1,5,5,2,3,4,1,1,1,3,9,1,6,5,1,3,3,1,1,6,1,1,10,1,5,5,6,2,4,4,7,2,2,4,6,2,2,5,2,3,1,1,9,1,5,5
6/5/2019 2:55:07,23,Female,White,White,White,US,9,2,1,1,2,2,2,2,1,1,1,2,1,3,2,1,1,1,1,1,4,2,1,1,5,3,1,1,1,5,1,1,3,1,2,1,1,3,1,2,1,3,1,1,1,1,1,1,3,3,2,2,3,1,2,1
6/4/2019 1:25:21,23,Female,South Asian,South Asian,South Asian,South Asia,3,2,1,4,4,1,1,2,6,1,1,5,3,1,1,3,4,1,1,4,8,1,1,4,2,2,2,2,1,5,3,3,7,1,3,4,3,3,2,3,1,3,2,2,3,3,3,2,2,3,2,2,9,1,3,6
6/3/2019 16:02:58,27,Female,South Asian,South Asian,South Asian,South Asia,2,2,2,2,2,1,2,3,3,1,2,3,2,1,2,2,4,4,4,2,4,4,4,5,2,1,2,1,1,5,4,3,4,2,2,3,2,2,2,3,2,3,1,3,1,3,3,3,1,2,1,2,5,1,4,3
6/3/2019 17:21:17,22,Male,White,White,White,US,1,3,2,4,2,3,3,3,6,2,4,3,2,3,3,3,5,3,3,4,5,2,4,4,2,3,3,3,1,5,4,4,4,2,4,3,2,3,4,4,2,3,4,4,3,3,3,4,1,3,3,3,5,2,4,4
6/4/2019 16:50:07,21,Male,White,White,White,US,3,4,1,1,5,3,1,2,7,2,1,4,1,3,1,2,3,4,1,3,8,2,4,4,1,2,1,1,1,5,4,1,3,3,2,3,4,2,3,1,2,4,2,1,2,3,1,1,1,4,2,1,5,1,4,5
