Timestamp,age,gender,race,race_p1,race_p2,raised_in,cf_002_a_1_anger,cf_002_a_1_pleasure,cf_002_a_1_arousal,cf_002_a_1_dominance,sam_006_n_2_neutral,sam_006_n_2_pleasure,sam_006_n_2_arousal,sam_006_n_2_dominance,cf_003_n_1_neutral,cf_003_n_1_pleasure,cf_003_n_1_arousal,cf_003_n_1_dominance,sam_005_a_1_anger,sam_005_a_1_pleasure,sam_005_a_1_arousal,sam_005_a_1_dominance,cf_005_a_1_anger,cf_005_a_1_pleasure,cf_005_a_1_arousal,cf_005_a_1_dominance,sam_003_n_1_neutral,sam_003_n_1_pleasure,sam_003_n_1_arousal,sam_003_n_1_dominance,cf_006_n_1_neutral,cf_006_n_1_pleasure,cf_006_n_1_arousal,cf_006_n_1_dominance,sam_002_a_1_anger,sam_002_a_1_pleasure,sam_002_a_1_arousal,sam_002_a_1_dominance,cm_002_a_1_anger,cm_002_a_1_pleasure,cm_002_a_1_arousal,cm_002_a_1_dominance,saf_004_n_2_neutral,saf_004_n_2_pleasure,saf_004_n_2_arousal,saf_004_n_2_dominance,cm_003_n_1_neutral,cm_003_n_1_pleasure,cm_003_n_1_arousal,cm_003_n_1_dominance,saf_003_a_3_anger,saf_003_a_3_pleasure,saf_003_a_3_arousal,saf_003_a_3_dominance,cm_005_a_1_anger,cm_005_a_1_pleasure,cm_005_a_1_arousal,cm_005_a_1_dominance,saf_001_n_1_neutral,saf_001_n_1_pleasure,saf_001_n_1_arousal,saf_001_n_1_dominance
6/3/2019 10:08:31,22,Female,White,White,White,US,4,3,2,3,4,4,1,5,7,1,3,6,6,2,6,5,10,1,6,5,7,4,4,5,1,4,1,1,5,4,4,5,4,5,4,4,1,5,4,4,6,4,1,1,8,1,5,5,3,2,4,2,5,4,4,4
6/3/2019 10:08:58,22,Female,White,White,White,US,1,2,3,3,1,3,2,2,2,1,3,2,3,2,5,5,5,1,4,4,5,1,3,4,1,3,3,2,1,3,2,3,1,5,5,5,2,5,4,5,3,3,3,3,6,1,4,4,7,2,5,3,3,1,4,4
6/3/2019 12:14:48,22,Female,White,White,White,US,4,2,1,1,5,2,2,3,6,2,3,3,3,3,3,3,6,2,4,3,5,1,3,4,5,4,2,1,4,1,2,1,5,1,2,2,1,4,4,3,2,4,2,3,8,1,5,4,6,1,5,4,6,1,6,2
6/3/2019 10:55:11,21,Female,South Asian,South Asian,South Asian,South Asia,1,4,3,2,1,3,1,1,1,3,2,4,4,3,5,4,7,1,5,5,6,3,5,6,1,3,2,1,1,4,1,1,1,5,4,5,1,5,4,2,1,4,3,4,6,2,5,5,7,1,5,4,10,1,6,6
6/3/2019 11:19:38,22,Female,South Asian,South Asian,South Asian,South Asia,3,2,2,2,3,2,3,3,6,2,3,4,7,2,4,5,2,5,5,4,7,2,5,5,2,5,3,1,4,4,3,4,2,6,5,5,1,5,4,5,5,4,5,5,3,1,4,5,6,1,4,4,8,1,4,6
6/3/2019 11:23:59,20,Female,South Asian,South Asian,South Asian,South Asia,3,1,1,4,1,1,1,1,5,1,1,5,9,1,1,3,9,1,4,5,9,1,4,3,1,1,1,1,3,1,1,1,8,3,6,6,3,1,2,1,5,1,1,3,10,1,1,3,9,1,1,5,10,1,1,6
6/3/2019 15:08:46,23,Female,South Asian,South Asian,South Asian,South Asia,4,1,2,3,1,3,2,2,2,2,3,3,4,3,4,4,5,3,4,4,3,3,3,3,1,4,3,3,1,5,2,2,1,5,4,3,1,5,3,3,1,5,2,1,5,2,4,4,5,2,6,5,6,1,5,5
6/3/2019 20:24:51,30,Female,South Asian,South Asian,South Asian,South Asia,3,4,3,3,4,3,3,4,6,2,2,3,5,3,3,3,5,3,3,3,6,2,2,2,3,2,2,1,2,2,2,2,2,2,2,2,1,1,2,2,1,2,3,3,3,2,2,2,2,2,1,1,4,1,2,2
6/3/2019 10:04:11,22,Male,White,White,White,US,3,3,1,4,3,2,2,3,7,1,4,4,6,1,3,3,7,2,3,3,4,2,2,2,3,3,1,3,2,3,1,2,3,2,3,4,1,4,3,2,3,3,1,3,7,2,4,4,8,1,5,4,5,2,4,4
6/3/2019 10:04:13,23,Male,White,White,White,US,3,2,3,4,5,2,2,2,6,1,4,4,5,1,5,5,8,2,4,4,6,2,3,3,1,3,2,1,4,2,3,2,2,5,4,4,3,2,4,4,3,2,2,3,6,1,4,4,8,1,5,2,7,1,4,3
6/3/2019 10:12:20,22,Male,White,White,White,US,4,4,4,3,7,3,2,2,8,1,4,4,9,2,5,6,7,2,3,5,8,2,4,4,2,5,1,2,4,5,3,2,5,3,6,6,1,5,2,2,3,2,3,4,7,2,5,4,10,1,6,4,9,1,4,2
6/3/2019 10:55:16,21,Male,White,White,White,US,1,3,2,3,1,4,1,2,5,1,1,5,7,2,3,5,8,2,4,5,6,1,1,5,5,3,4,5,3,3,4,3,5,3,5,4,1,4,4,2,1,3,3,2,8,1,1,3,5,1,1,2,8,1,1,2
6/3/2019 11:24:20,22,Male,South Asian,South Asian,South Asian,South Asia,2,2,1,2,2,3,1,2,5,1,1,2,4,1,1,3,3,3,4,5,4,2,2,4,1,4,2,4,1,4,2,4,2,2,5,4,1,2,2,2,4,1,3,1,2,1,3,2,7,2,4,4,9,2,4,6
6/3/2019 12:50:39,24,Male,South Asian,South Asian,South Asian,South Asia,1,5,2,5,1,4,1,2,6,2,4,5,8,2,5,4,8,2,5,6,7,2,5,6,3,6,2,5,1,4,2,4,1,5,4,5,1,5,5,4,1,4,4,5,10,1,6,6,1,2,5,5,6,3,4,3
6/4/2019 6:58:11,20,Male,South Asian,South Asian,South Asian,South Asia,1,3,3,4,1,3,2,3,7,2,1,4,7,1,1,4,8,1,1,6,9,1,4,5,5,3,3,2,5,3,3,4,3,5,5,5,1,5,4,2,3,5,3,3,8,1,2,3,7,3,3,4,9,2,2,4
6/4/2019 11:05:22,23,Male,South Asian,South Asian,South Asian,South Asia,5,2,4,2,3,2,3,4,4,2,2,4,4,2,4,5,7,2,2,5,7,1,2,6,7,2,2,4,3,1,2,4,4,4,6,3,3,5,1,1,5,5,1,3,9,1,4,5,8,1,2,5,3,2,4,3
